date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:59	357935/357935	---M-Z	200	added ('OK')	application/javascript	etag:%225c0a9317-5762f%22	http://s7.addthis.com/js/300/addthis_widget.js	E:/rohith/projects/website%20resume/s7.addthis.com/js/300/addthis_widget.js	(from https://certy.px-lab.com/html/demo4/index.php)
18:44:59	93450/93450	---M--	200	added ('OK')	application/x-javascript	etag:%2216d0a-54b009b1cea80%22	https://certy.px-lab.com/html/demo4/assets/js/theme.min.js	E:/rohith/projects/website%20resume/certy.px-lab.com/html/demo4/assets/js/theme.min.js	(from https://certy.px-lab.com/html/demo4/index.php)
18:44:59	391784/391784	---M--	200	added ('OK')	application/x-javascript	etag:%225fa68-54b0083a0f400%22	https://certy.px-lab.com/html/demo4/assets/js/plugins.min.js	E:/rohith/projects/website%20resume/certy.px-lab.com/html/demo4/assets/js/plugins.min.js	(from https://certy.px-lab.com/html/demo4/index.php)
18:44:59	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	E:/rohith/projects/website%20resume/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://certy.px-lab.com/html/demo4/index.php)
18:45:02	174716/174716	---M--	200	added ('OK')	application/x-font-ttf	date:Fri,%2004%20Jan%202019%2013:15:00%20GMT	https://certy.px-lab.com/html/demo4/assets/fonts/icomoon/fonts/icomoon.ttf?8dntj0	E:/rohith/projects/website%20resume/certy.px-lab.com/html/demo4/assets/fonts/icomoon/fonts/icomoond3a2.ttf	(from https://certy.px-lab.com/html/demo4/assets/fonts/icomoon/style.css)
18:45:05	20242/20242	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Jan%202019%2013:15:03%20GMT	https://certy.px-lab.com/html/demo4/assets/css/mCSB_buttons.png	E:/rohith/projects/website%20resume/certy.px-lab.com/html/demo4/assets/css/mCSB_buttons.2b.delayed	(from https://certy.px-lab.com/html/demo4/assets/css/style.min.css)
18:45:06	174792/174792	---M--	200	added ('OK')	application/font-woff	date:Fri,%2004%20Jan%202019%2013:15:01%20GMT	https://certy.px-lab.com/html/demo4/assets/fonts/icomoon/fonts/icomoon.woff?8dntj0	E:/rohith/projects/website%20resume/certy.px-lab.com/html/demo4/assets/fonts/icomoon/fonts/icomoond3a2.woff	(from https://certy.px-lab.com/html/demo4/assets/fonts/icomoon/style.css)
18:45:07	20242/20242	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Jan%202019%2013:15:07%20GMT	https://certy.px-lab.com/html/demo4/www.sitedomen.com	E:/rohith/projects/website%20resume/certy.px-lab.com/html/demo4/www.sitedomen.2d.delayed	(from https://certy.px-lab.com/html/demo4/portfolio.php)
18:45:08	178881/178881	---M--	200	added ('OK')	image/jpeg	etag:%222bac1-54a25677c5480%22	https://certy.px-lab.com/html/demo4/assets/images/uploads/portfolio/prj-01.jpg	E:/rohith/projects/website%20resume/certy.px-lab.com/html/demo4/assets/images/uploads/portfolio/prj-01.jpg	(from https://certy.px-lab.com/html/demo4/portfolio.php)
18:45:08	4429/4429	---M--	200	added ('OK')	image/jpeg	etag:%22114d-54a217140c680%22	https://certy.px-lab.com/html/demo4/assets/images/uploads/portfolio/prj-rel-01.jpg	E:/rohith/projects/website%20resume/certy.px-lab.com/html/demo4/assets/images/uploads/portfolio/prj-rel-01.jpg	(from https://certy.px-lab.com/html/demo4/portfolio.php)
